Órgão/Secretaria;Número do Processo;Modalidade de Contratação;Empresa Contratada;Data da Assinatura;Data da Publicação;Prazo Contratual;Período do Prazo Contratual;Status da Licitação;licitacaoLink
Penitenciária de Valparaíso;2020CT00143;PREGÃO ELETRÔNICO;ROBERTO CARLOS GRILLO ME;08/04/2020 00:00;23/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401289
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT01761;PREGÃO ELETRÔNICO;CQC TECNOLOGIA EM SISTEMAS DIAGNÓSTICOS LTDA.;08/04/2020 00:00;23/04/2020 00:00;1;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1318013
"Hospital Geral ""Dr. Alvaro Simões de Souza"" de Vila Nova Cachoeirinha";2020ne00306;PREGÃO ELETRÔNICO;PHO-PRODUTOS HOSPITALARES E ODONT LTDA;16/04/2020 00:00;23/04/2020 00:00;5;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1403398
Penitenciária de Valparaíso;2020CT00144;PREGÃO ELETRÔNICO;JOAO PAULO DE ALMEIDA BELINELLO;08/04/2020 00:00;23/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401289
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT01762;PREGÃO ELETRÔNICO;ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA;08/04/2020 00:00;23/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1349112
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT01756;PREGÃO ELETRÔNICO;SUPERMERCADO MORADA DO SOL EIRELI EPP;08/04/2020 00:00;23/04/2020 00:00;5;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1328681
Centro de Detenção Provisória Campinas;43466;PREGÃO ELETRÔNICO;ALFADESK COMERCIO DE SUPRIMENTOS PARA INFORMÁTICA;17/04/2020 00:00;23/04/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1301693
Penitenciária de Valparaíso;2020CT00145;PREGÃO ELETRÔNICO;PILAR COMERCIO DE CEREAIS LTDA -ME;08/04/2020 00:00;23/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401289
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT01757;PREGÃO ELETRÔNICO;PARTNER GESTAO E LOGISTICA EIRELI EPP;08/04/2020 00:00;23/04/2020 00:00;5;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1328681
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT01758;PREGÃO ELETRÔNICO;BEKER PRODUTOS FARMACO HOSPITALARES;08/04/2020 00:00;23/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1325665
Penitenciária de Valparaíso;2020CT00146;PREGÃO ELETRÔNICO;GN ALIMENTOS LTDA;08/04/2020 00:00;23/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401292
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT01759;PREGÃO ELETRÔNICO;E. TAMUSSINO & CIA LTDA;08/04/2020 00:00;23/04/2020 00:00;5;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1344946
Penitenciária de Valparaíso;2020CT00147;PREGÃO ELETRÔNICO;DBLT TRANSPORTE E ATACADO DE CARNES EIRELI;08/04/2020 00:00;23/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401292
Penitenciária de Valparaíso;2020CT00148;PREGÃO ELETRÔNICO;VALERIA VIDOTO BOGAZ ME;08/04/2020 00:00;23/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401292
Unesp Jaboticabal - Faculdade de Ciências Agrárias e Veterinárias;27/2019;PREGÃO ELETRÔNICO;MARIA CRISTINA ABREU KAMINSKY ME;02/04/2020 00:00;23/04/2020 00:00;60;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1377013
Penitenciária de Valparaíso;2020CT00149;PREGÃO ELETRÔNICO;O SARTORI FRIOS - ME;08/04/2020 00:00;23/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401293
Unicamp-Hospital de Clínicas;325/2020;PREGÃO ELETRÔNICO;PS DISTRIBUIDORA DE PRODUTOS DA SAUDE EIRELI;16/04/2020 00:00;23/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1388124
Procuradoria Regional de Campinas;41334;DISPENSA;Três Ideias Empreendomentos Imobiliários;22/04/2020 00:00;23/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1338495
Companhia de Saneamento Básico do Estado de São Paulo;00.099/18;PREGÃO ELETRÔNICO;ISH TECNOLOGIA S.A.;09/04/2020 00:00;23/04/2020 00:00;720;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1210337
Departamento de Policia Judiciária do Interior 8 - Presidente Prudente;2020CT00013;CONVITE;BALEIRA LTDA epp;22/04/2020 00:00;23/04/2020 00:00;5;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1405888
Departamento Regional de Saude de Franca - DRS VIII;2020CT00290;PREGÃO ELETRÔNICO;EXATA DISTR MEDICAMENTOS EIRELI;03/03/2020 00:00;23/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391466
Instituto da Assistência Médica ao Servidor Público Estadual;91/2020 ;PREGÃO ELETRÔNICO;FRESENIUS MEDICAL CARE LTDA;22/04/2020 00:00;23/04/2020 00:00;365;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392831
Hospital Regional de Ferraz de Vasconcelos;2020BNE00294;PREGÃO ELETRÔNICO;CRISMED COMERCIAL HOSPITALAR LTDA-EPP;26/03/2020 00:00;23/04/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396811
Unicamp - Diretoria Geral da Administração;293/2020;PREGÃO ELETRÔNICO;SCHARLAB BRASIL MAT. PARA LAB. S/A;22/04/2020 00:00;23/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1387297
Hospital Regional de Ferraz de Vasconcelos;2020NE00295;PREGÃO ELETRÔNICO;CIRURGICA BALMED;26/03/2020 00:00;23/04/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396811
Departamento de Policia Judiciária do Interior 8 - Presidente Prudente;2020CT00014;CONVITE;PONTO MIX COMERCIAL E SERVIÇOS EIRELI;22/04/2020 00:00;23/04/2020 00:00;5;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1405888
Hospital Regional de Ferraz de Vasconcelos;2020NE00296;PREGÃO ELETRÔNICO;MEDICAMENTAL HOSPITALAR LTDA;26/03/2020 00:00;23/04/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396811
Unicamp - Diretoria Geral da Administração;295/2019;PREGÃO ELETRÔNICO;ACCUMED PROD. MÉD. HOSP. LTDA;22/04/2020 00:00;23/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1387297
FUNDACAO CENTRO DE ATENDIMENTO SOCIO-EDUCATIVO AO ADOLESCENTE - Leste II;DRMIII 001/2016;PREGÃO ELETRÔNICO;GOMAQ MAQUINAS PARA ESCRITORIO LTDA;31/03/2020 00:00;23/04/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1052119
Unicamp - Diretoria Geral da Administração;296/2020;PREGÃO ELETRÔNICO;GREINER BIO-ONE BRASIL PROD. MÉD. HOSP. LTDA;22/04/2020 00:00;23/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1387297
Instituto da Assistência Médica ao Servidor Público Estadual;84/2020 ;PREGÃO ELETRÔNICO;P S DISTRIBUIDORA DE PRODUTOS DA SAÚDE EIRELI;22/04/2020 00:00;23/04/2020 00:00;365;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392836
Universidade Estadual Paulista - Reitoria;12/2015-RUNESP;PREGÃO ELETRÔNICO;SOMPO SEGUROS S/A;13/04/2020 00:00;23/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=977238
Universidade Estadual Paulista - Reitoria;54/2018-RUNESP;INEXIGIBILIDADE;Fundação Para o Desenvolvimento da Unesp – FUNDUNE;09/04/2020 00:00;23/04/2020 00:00;41;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1294616
Sabesp -Companhia de Saneamento Básico de Franca;05420/19-01;LICITAÇÃO 13.303 (EXCETO PREGÃO);Bombas grundfos do brasil ltda;17/04/2020 00:00;23/04/2020 00:00;120;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1386240
6ª Delegacia Seccional de Policia Judiciária da Capital;2020CT00025;CONVITE;ISAPEL INDUSTRIA E COMERCIO DE PAPEL LTDA - EPP;17/04/2020 00:00;23/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1405940
ITESP Fundação Instituto de Terras do Estado de São Paulo;18/2020;PREGÃO ELETRÔNICO;FONTE VIVA – DISTRIBUIDORA LTDA EPP;10/04/2020 00:00;23/04/2020 00:00;365;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393271
Departamento de Suprimentos e Infraestrutura - Secr. da Fazenda e Planejamento;96;CONVITE;MUCCIO & MUCCIO LTDA;02/04/2020 00:00;23/04/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1400669
6ª Delegacia Seccional de Policia Judiciária da Capital;2020CT00026;CONVITE;WIDE STOCK COMERCIO E REPRESENTACAO LTDA;17/04/2020 00:00;23/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1405940
ITESP Fundação Instituto de Terras do Estado de São Paulo;19/2020;PREGÃO ELETRÔNICO;UNIPAPEL COMERCIO E SERVIÇOS EIRELI ME;10/04/2020 00:00;23/04/2020 00:00;365;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393271
FUNDACAO CENTRO DE ATENDIMENTO SOCIO-EDUCATIVO AO ADOLESCENTE - Leste II;DRMIII 009/2019;PREGÃO ELETRÔNICO;Systec Serviços de Manutenção para Elevadores;06/04/2020 00:00;23/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1312662
6ª Delegacia Seccional de Policia Judiciária da Capital;2020CT00027;CONVITE;COMERCIAL SANDALO LTDA - ME;17/04/2020 00:00;23/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1405940
Hospital Regional de Ferraz de Vasconcelos;2020NE00291;PREGÃO ELETRÔNICO;PHO-PRODUTOS HOSPITALARES E ODONTOLÓGICOS LTDA;26/03/2020 00:00;23/04/2020 00:00;10;3;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396693
Departamento Aeroviário do Estado de São Paulo;038/2014;PREGÃO ELETRÔNICO;Bravsec –Serviços Auxiliares de Transporte Aéreo L;31/03/2020 00:00;23/04/2020 00:00;60;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=944100
Hospital Regional de Ferraz de Vasconcelos;2020NE00292;PREGÃO ELETRÔNICO;CHM COME´RCIO DE MEDICAMENTOS EIRELI;26/03/2020 00:00;23/04/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396693
Penitenciária Masculina de Piracicaba;032/2017-PPIR;PREGÃO ELETRÔNICO;CENTRÃO COMERCIO DE EQUIPAMNETOS EIRELI;09/04/2020 00:00;23/04/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1166510
6ª Delegacia Seccional de Policia Judiciária da Capital;2020CT00028;CONVITE;PONTO MIX COMERCIAL E SERVIÇOS EIRELI;17/04/2020 00:00;23/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1405940
Hospital Regional de Ferraz de Vasconcelos;2020NE00307;PREGÃO ELETRÔNICO;CONTROLL PHARMA COMÉRCIO DE MEDICAMENTOS;26/03/2020 00:00;23/04/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396693
Departamento Aeroviário do Estado de São Paulo;038/2014;PREGÃO ELETRÔNICO;Bravsec –Serviços Auxiliares de Transporte Aéreo L;31/03/2020 00:00;23/04/2020 00:00;60;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=944100
Penitenciária Feminina de Ribeirão Preto;016/2019;PREGÃO ELETRÔNICO;ALIMENTAR DISTRIBUIDORA DE CARNES E FRIOS EIRELI;10/12/2019 00:00;24/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1378742
Penitenciária Feminina de Ribeirão Preto;017/2019;PREGÃO ELETRÔNICO;SPOLJARIC COMERCIAL DO BRASIL EIRELI EPP;10/12/2019 00:00;24/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1378742
Penitenciária Feminina de Ribeirão Preto;018/2019;PREGÃO ELETRÔNICO;USINA DE LATICÍNIOS JUSSARA S/A;10/12/2019 00:00;24/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1378742
Faculdade de Odontologia da USP;43497;PREGÃO PRESENCIAL;DENTAL ALTA MOGIANA COM PRODS ODONT LTDA;26/03/2020 00:00;24/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1297852
Departamento Regional de Saude de Franca - DRS VIII;2020CT00117;PREGÃO ELETRÔNICO;MANZATOS FARMA LTDA ME;28/01/2020 00:00;24/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1382472
Penitenciária Feminina de Ribeirão Preto;019/2019;PREGÃO ELETRÔNICO;NUTRICIONALE COMERCIO DE ALIMENTOS LTDA;15/01/2020 00:00;24/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1386008
Departamento Regional de Saude de Franca - DRS VIII;2020CT00118;PREGÃO ELETRÔNICO;MANZATOS FARMA LTDA ME;28/01/2020 00:00;24/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1382472
Penitenciária Feminina de Ribeirão Preto;020/2019;PREGÃO ELETRÔNICO;INTEGRADO DISTRIBUIDOR FRIGORÍFICO LTDA;15/01/2020 00:00;24/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1386008
Unicamp -Centro de Atenção Integral à Saúde da Mulher;00286/2020;PREGÃO ELETRÔNICO;SIMILAR E COMPATIVEL IND. DE EQUIP. MED. ODONT. LT;15/04/2020 00:00;24/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1382538
Departamento de Gerenciamento Ambulatorial da Capital;2020NE00381;PREGÃO ELETRÔNICO;ASTRAZENECA DO BRASIL LTDA.;17/04/2020 00:00;24/04/2020 00:00;17;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1370066
Departamento Regional de Saude de Franca - DRS VIII;2020CT00325;PREGÃO ELETRÔNICO;DROGARIA BARAO EIRELI ME;10/03/2020 00:00;24/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393970
Penitenciária Feminina de Ribeirão Preto;021/2019;PREGÃO ELETRÔNICO;FRIOLI FRIGORIFICO OLIVEIRA LTDA;15/01/2020 00:00;24/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1386008
Fundação Centro de Atendimento Sócio-educativo ao Adolescente - CASA;SCO Nº 051/2018;PREGÃO ELETRÔNICO;AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A;03/04/2020 00:00;24/04/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1268687
Departamento Regional de Saude de Franca - DRS VIII;2020CT00336;DISPENSA;O2 CENTRO HIPERBÁRICO LTDA - EPP;12/03/2020 00:00;24/04/2020 00:00;180;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1399844
Departamento de Suporte Administrativo do Comando Geral;006/501/2020;PREGÃO ELETRÔNICO;EDIPO ALVES - ME;17/04/2020 00:00;24/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1404103
Departamento de Gerenciamento Ambulatorial da Capital;2020NE00382;PREGÃO ELETRÔNICO;LABOR.QUIM.FARM.BERGAMO LTDA.;17/04/2020 00:00;24/04/2020 00:00;17;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1370066
Departamento Regional de Saude de Franca - DRS VIII;2020CT00287;PREGÃO ELETRÔNICO;DROGARIA BARAO EIRELI ME;03/03/2020 00:00;24/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391464
Departamento Regional de Saude de Franca - DRS VIII;2020CT00288;PREGÃO ELETRÔNICO;DANIELA CRISTINA SOUZA SANTOS - ME;03/03/2020 00:00;24/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391464
Departamento de Gerenciamento Ambulatorial da Capital;2020NE00383;PREGÃO ELETRÔNICO;HOSPFAR IND.E COM.DE PRODS.HOSPITALARES L;17/04/2020 00:00;24/04/2020 00:00;17;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1370066
Departamento Regional de Saude de Franca - DRS VIII;2020CT00289;PREGÃO ELETRÔNICO;PARTNER FARMA DISTR DE MEDTOS EIRELI;03/03/2020 00:00;24/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391464
Departamento de Gerenciamento Ambulatorial da Capital;2020NE00384;PREGÃO ELETRÔNICO;PORTAL LTDA;17/04/2020 00:00;24/04/2020 00:00;17;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1370066
Centro de Suprimento e Manutenção de Material Operacional de Bombeiros;058/113/2020;PREGÃO ELETRÔNICO;SW2 COMÉRCIO E SERVIÇOS ESPECIALIZADOS EIRELE;14/04/2020 00:00;24/04/2020 00:00;45;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1316191
Centro de Suprimento e Manutenção de Material Operacional de Bombeiros;057/113/2020;PREGÃO ELETRÔNICO;SW2 COMÉRCIO E SERVIÇOS ESPECIALIZADOS EIRELE;14/04/2020 00:00;24/04/2020 00:00;45;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1316191
Diretoria do Departamento Estadual de Trânsito;040/2020;CONVÊNIO;Município de Execução: AVARÉ;22/04/2020 00:00;24/04/2020 00:00;5;3;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1408930
Centro de Suprimento e Manutenção de Material Operacional de Bombeiros;036/113/2020;PREGÃO ELETRÔNICO;TEKCOM – IMPORTADORA AUTOPEÇAS LTDA;02/04/2020 00:00;24/04/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1317347
Departamento de Gerenciamento Ambulatorial da Capital;2020NE00385;PREGÃO ELETRÔNICO;BLAU FARMACEUTICA S/A;22/04/2020 00:00;24/04/2020 00:00;17;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1370066
Centro de Suprimento e Manutenção de Material Operacional de Bombeiros;045/113/2020;PREGÃO ELETRÔNICO;AFRAN PEÇAS E ACESSORIOS EIRELI - ME;02/04/2020 00:00;24/04/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1317347
Centro de Suprimento e Manutenção de Material Operacional de Bombeiros;047/113/2020;PREGÃO ELETRÔNICO;ELAINE CRISTINA CANDIDA DA SILVA EPP;03/04/2020 00:00;24/04/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1317347
Grupamento de Bombeiros Marítimo;2020CT00053;CONVITE;KJ INDUSTRIA E COMERCIO DE EMBALAGENS LTDA;09/04/2020 00:00;24/04/2020 00:00;6;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1404109
Instituto de Infectologia Emilio Ribas;2020CT00351;PREGÃO ELETRÔNICO;BARD BRASIL IND. E COM. DE PROD. SAUDE LT;31/03/2020 00:00;25/04/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393976
Delegacia Seccional de Policia de Guarulhos;2020ct00024;CONVITE;NDS INFORMATICA EIRELI - ME;22/04/2020 00:00;25/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1404335
Departamento Regional de Saúde de Bauru DRS VI;2020ct00564;PREGÃO ELETRÔNICO;DROGARIA BARÃO EIRELI;17/04/2020 00:00;25/04/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1399378
Coordenadoria de Desenvolvimento Rural Sustentável;006/2020;PREGÃO ELETRÔNICO;Natalia Cubianchi Furtado de Oliveira 36686813842;07/04/2020 00:00;25/04/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1395865
"Penitenciária ""ASP Joaquim Fonseca Lopes"" de Parelheiros";026/2020;PREGÃO ELETRÔNICO;PILAR CEREAIS LTDA;24/04/2020 00:00;25/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1407122
Delegacia Seccional de Policia de Guarulhos;2020CT00025;CONVITE;HIGH TECH PAPELARIA E INFORMATICA LTDA;22/04/2020 00:00;25/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1404335
Departamento Regional de Saúde de Bauru DRS VI;2020ct00565;PREGÃO ELETRÔNICO;EMPÓRIO HOSPITALAR COMÉRCIO DE PRODUTOS CIRURGICOS;17/04/2020 00:00;25/04/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1399378
"Penitenciária ""ASP Joaquim Fonseca Lopes"" de Parelheiros";027/2020;PREGÃO ELETRÔNICO;BIGUÁ ALIMENTOS LTDA,;24/04/2020 00:00;25/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1407122
Departamento Regional de Saúde de Bauru DRS VI;2020ct00566;PREGÃO ELETRÔNICO;LUMAR COMÉRCIO DE PRODUTOS FARMACEUTICOS LTDA;17/04/2020 00:00;25/04/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1399378
